ts,open,high,low,close,volume,datetime
1770613200000,1.98012,1.98012,1.97,1.97454,2374.91986495,2026-02-09 05:00:00+00:00
1770615000000,1.97829,1.98476,1.97747,1.98254,17489.06209437,2026-02-09 05:30:00+00:00
1770616800000,1.98095,1.98095,1.95313,1.95313,1344.7621,2026-02-09 06:00:00+00:00
1770618600000,1.95297,1.95846,1.95297,1.95846,675.4925735,2026-02-09 06:30:00+00:00
1770620400000,1.95857,1.96199,1.95857,1.96003,3070.76678,2026-02-09 07:00:00+00:00
1770622200000,1.95545,1.95595,1.942,1.94433,1358.81916889,2026-02-09 07:30:00+00:00
1770624000000,1.94727,1.95107,1.93241,1.93284,836.74603592,2026-02-09 08:00:00+00:00
1770625800000,1.93219,1.93219,1.91885,1.92258,58428.93512222,2026-02-09 08:30:00+00:00
1770627600000,1.92383,1.924,1.91402,1.91556,1063.73841437,2026-02-09 09:00:00+00:00
1770629400000,1.91339,1.91411,1.90306,1.90759,54084.85107117,2026-02-09 09:30:00+00:00
1770631200000,1.90901,1.91736,1.89354,1.89424,6806.33024148,2026-02-09 10:00:00+00:00
1770633000000,1.89304,1.89304,1.8744,1.88956,5661.49379945,2026-02-09 10:30:00+00:00
1770634800000,1.89114,1.9037,1.89114,1.9037,5198.93436483,2026-02-09 11:00:00+00:00
1770636600000,1.90349,1.90464,1.894,1.894,2914.70365165,2026-02-09 11:30:00+00:00
1770638400000,1.90202,1.91996,1.90202,1.91387,2643.60906039,2026-02-09 12:00:00+00:00
1770640200000,1.9132,1.92215,1.91,1.91669,8753.58219012,2026-02-09 12:30:00+00:00
1770642000000,1.91528,1.91882,1.91231,1.91241,1502.18495918,2026-02-09 13:00:00+00:00
1770643800000,1.91259,1.91259,1.9,1.9,3799.9823333,2026-02-09 13:30:00+00:00
1770645600000,1.90276,1.91215,1.90144,1.9101,7200.43599498,2026-02-09 14:00:00+00:00
1770647400000,1.90969,1.95312,1.90614,1.94135,26214.6499839,2026-02-09 14:30:00+00:00
1770649200000,1.94382,1.96146,1.93283,1.93284,14907.81856417,2026-02-09 15:00:00+00:00
1770651000000,1.94076,1.96617,1.94076,1.96142,6470.37575571,2026-02-09 15:30:00+00:00
1770652800000,1.96225,1.96819,1.94966,1.9652,8172.84172851,2026-02-09 16:00:00+00:00
1770654600000,1.96418,1.98582,1.95848,1.97218,19242.8817457,2026-02-09 16:30:00+00:00
1770656400000,1.9715,1.9724,1.94839,1.94996,5668.32725516,2026-02-09 17:00:00+00:00
1770658200000,1.95424,1.97564,1.95308,1.96954,23308.66992917,2026-02-09 17:30:00+00:00
1770660000000,1.96858,1.97436,1.94851,1.95569,5636.62919141,2026-02-09 18:00:00+00:00
1770661800000,1.95623,1.95986,1.95206,1.95206,5156.44847245,2026-02-09 18:30:00+00:00
1770663600000,1.95852,1.96444,1.95752,1.95996,12063.0995069,2026-02-09 19:00:00+00:00
1770665400000,1.96115,1.97113,1.96115,1.97113,3656.39936148,2026-02-09 19:30:00+00:00
1770667200000,1.96895,1.97548,1.96136,1.96139,640.35427,2026-02-09 20:00:00+00:00
1770669000000,1.96274,1.97154,1.96096,1.97,4040.73950633,2026-02-09 20:30:00+00:00
1770670800000,1.97483,1.97483,1.96096,1.97178,5107.26162566,2026-02-09 21:00:00+00:00
